date;direction;internal;calls_count;duration_per_call;total_duration_per_call
2019-08-27 21:00:00;out;False;33;0,0;17,0
2019-08-27 21:00:00;out;False;50;47,1;59,8
2019-08-28 21:00:00;out;False;37;35,7027027027027;47,351351351351354
2019-08-28 21:00:00;out;False;32;0,0;20,4375
2019-08-29 21:00:00;out;False;42;47,69047619047619;62,73809523809524
2019-08-29 21:00:00;out;False;39;0,0;13,948717948717949
2019-09-02 21:00:00;out;False;65;46,84615384615385;61,33846153846154
2019-09-02 21:00:00;out;False;67;0,0;21,64179104477612
2019-09-02 21:00:00;in;False;2;28,5;35,0
2019-09-03 21:00:00;out;False;69;32,028985507246375;44,68115942028985
2019-09-03 21:00:00;out;False;60;0,0;18,266666666666666
2019-09-04 21:00:00;out;False;64;27,46875;40,453125
2019-09-04 21:00:00;out;False;88;0,0;21,15909090909091
2019-09-05 21:00:00;out;False;61;40,114754098360656;55,0655737704918
2019-09-05 21:00:00;in;False;2;28,5;49,5
2019-09-05 21:00:00;out;False;53;0,0;22,9811320754717
2019-09-08 21:00:00;out;False;42;0,0;12,785714285714286
2019-09-08 21:00:00;in;False;1;47,0;54,0
2019-09-08 21:00:00;out;False;40;35,575;47,4
2019-09-11 21:00:00;out;False;74;0,0;19,83783783783784
2019-09-11 21:00:00;out;False;29;30,517241379310345;41,89655172413793
2019-09-12 21:00:00;in;False;1;18,0;88,0
2019-09-12 21:00:00;out;False;37;0,0;20,10810810810811
2019-09-12 21:00:00;out;False;45;36,644444444444446;47,355555555555554
2019-09-15 21:00:00;out;False;88;0,0;18,613636363636363
2019-09-15 21:00:00;out;False;35;27,6;38,77142857142857
2019-09-16 21:00:00;out;False;16;35,9375;42,3125
2019-09-16 21:00:00;out;False;30;0,0;27,8
2019-09-17 21:00:00;out;False;5;0,0;27,6
2019-09-19 21:00:00;out;False;1;0,0;4,0
2019-09-23 21:00:00;out;False;2;0,0;38,5
2019-09-23 21:00:00;out;False;1;2,0;23,0
2019-09-24 21:00:00;out;False;1;0,0;1,0
2019-09-25 21:00:00;out;False;5;0,0;19,6
2019-09-25 21:00:00;out;False;4;26,0;47,0
2019-09-29 21:00:00;out;False;2;0,0;31,0
2019-10-03 21:00:00;out;False;1;38,0;50,0
2019-10-03 21:00:00;out;False;1;0,0;24,0
2019-10-07 21:00:00;out;False;4;0,0;18,5
2019-10-07 21:00:00;out;False;1;36,0;40,0
2019-10-09 21:00:00;out;False;1;0,0;21,0
2019-10-09 21:00:00;out;True;1;0,0;0,0
2019-10-14 21:00:00;out;False;1;27,0;41,0
2019-10-14 21:00:00;out;False;2;0,0;39,0
2019-10-15 21:00:00;out;False;1;0,0;60,0
